n, TOTAL_TIME, GENERATE_DATASET, KDTREE, TLR_MATRIX, CMTOMO, HMATRIX
32768, 1428889.750000, 178.861053, 6109.119629, 697789.062500, 15256.083008, 181801.421875, 
256, 646849.000000, 161.849350, 706.702332, 640451.750000, 12.178336, 434.595032, 
8192, 816637.562500, 234.927109, 3576.837158, 737005.750000, 1835.060669, 21022.462891, 
8192, 755009.375000, 145.087494, 2230.923340, 710943.312500, 945.539612, 11792.835938, 
8192, 2430.669922, 180.791290, 2237.942871, 0.000000, 0.000000, 0.000000, 
8192, 718003.750000, 174.628860, 2249.973877, 672263.000000, 1543.331299, 12108.041016, 
8192, 411584.437500, 158.588928, 3198.165039, 348519.000000, 900.589539, 15662.675781, 
8192, 374453.406250, 164.267014, 2223.494141, 331620.625000, 622.347290, 10763.110352, 
8192, 2393.420898, 166.595581, 2213.166016, 0.000000, 0.000000, 0.000000, 
819, 1188.274170, 169.720825, 1007.222778, 0.000000, 0.000000, 0.000000, 
8192, 2392.172607, 162.603012, 2217.140137, 0.000000, 0.000000, 0.000000, 
8192, 2400.046143, 171.366394, 2215.547852, 0.000000, 0.000000, 0.000000, 
8192, 2396.429199, 168.173569, 2215.650391, 0.000000, 0.000000, 0.000000, 
8192, 2389.688232, 162.872314, 2213.403564, 0.000000, 0.000000, 0.000000, 
128, 531.846130, 165.491714, 354.467834, 0.000000, 0.000000, 0.000000, 
128, 538.106873, 168.998917, 355.772430, 0.000000, 0.000000, 0.000000, 
128, 535.057434, 167.357437, 355.990540, 0.000000, 0.000000, 0.000000, 
128, 533.459961, 165.276672, 357.115906, 0.000000, 0.000000, 0.000000, 
64, 330.681335, 161.642502, 155.840515, 0.000000, 0.000000, 0.000000, 
128, 528.750610, 160.744446, 354.696198, 0.000000, 0.000000, 0.000000, 
4096, 2547.175537, 160.561157, 1561.253906, 0.000000, 0.000000, 0.000000, 
4096, 4271.946777, 159.339523, 1565.583374, 0.000000, 0.000000, 0.000000, 
64, 325.362701, 159.334396, 154.494980, 0.000000, 0.000000, 0.000000, 
128, 531.986450, 163.171326, 355.930115, 0.000000, 0.000000, 0.000000, 
128, 517.910522, 150.526978, 354.812927, 0.000000, 0.000000, 0.000000, 
